feature,prauc,drop,importance
sepsis_window,0.013423853711535833,0.5230876537165937,0.5230876537165937
blackout_window,0.5219226051304598,0.014588902297669737,0.014588902297669737
sd_hr,0.5331394647460158,0.003372042682113774,0.003372042682113774
mean_spo2,0.5335245547011256,0.0029869527270039997,0.0029869527270039997
skewness_spo2,0.5344333555656869,0.0020781518624426454,0.0020781518624426454
min_xc_hr_spo2,0.5347787657141385,0.0017327417139910706,0.0017327417139910706
mean_hr,0.5348622242328013,0.0016492831953283105,0.0016492831953283105
kurtosis_spo2,0.535115968797499,0.0013955386306305773,0.0013955386306305773
skewness_hr,0.5352250179205511,0.001286489507578481,0.001286489507578481
kurtosis_hr,0.5357455118917328,0.0007659955363967796,0.0007659955363967796
sub,0.5361003335640856,0.0004111738640439899,0.0004111738640439899
sd_spo2,0.5370189708815765,-0.0005074634534468769,0.0
max_xc_hr_spo2,0.5369415335818624,-0.00043002615373277653,0.0
