feature,prauc,drop,importance
sepsis_window,0.015346088892815435,0.521892185895285,0.521892185895285
sd_hr,0.5293998846295835,0.00783839015851684,0.00783839015851684
mean_hr,0.5343103589269073,0.00292791586119312,0.00292791586119312
skewness_spo2,0.5345588841257835,0.0026793906623169272,0.0026793906623169272
max_xc_hr_spo2,0.5357915097829921,0.0014467650051083192,0.0014467650051083192
blackout_window,0.5360086879179382,0.0012295868701621693,0.0012295868701621693
kurtosis_hr,0.536259246572031,0.000979028216069433,0.000979028216069433
kurtosis_spo2,0.5367004226209062,0.0005378521671941527,0.0005378521671941527
sd_spo2,0.5369003631639807,0.0003379116241196689,0.0003379116241196689
sub,0.5369983206459255,0.00023995414217492517,0.00023995414217492517
mean_spo2,0.5388287069289622,-0.0015904321408618527,0.0
skewness_hr,0.5372893477860418,-5.107299794138154e-05,0.0
min_xc_hr_spo2,0.5394482493558953,-0.0022099745677949256,0.0
